City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,atuona,48,PF,1533741670,100,-9.8,-139.03,79.52,21.97
1,clyde river,40,CA,1533740400,66,70.47,-68.59,48.2,5.82
2,ushuaia,40,AR,1533736800,60,-54.81,-68.31,41.0,23.04
3,paka,0,HR,1533740400,45,45.29,18.06,87.8,6.93
4,dikson,56,RU,1533741670,73,73.51,80.55,52.25,17.83
5,komsomolskiy,92,RU,1533741635,94,67.55,63.78,52.25,10.0
6,rikitea,80,PF,1533741671,100,-23.12,-134.97,73.49,8.99
7,lujiang,8,CN,1533736800,89,31.26,117.28,86.0,4.47
8,saskylakh,0,RU,1533741671,69,71.97,114.09,60.08,8.43
9,broken hill,0,AU,1533741663,85,-31.97,141.45,40.73,2.84
10,hithadhoo,92,MV,1533741672,100,-0.6,73.08,82.67,3.96
11,paragominas,24,BR,1533741672,62,-3.0,-47.35,88.07,8.77
12,genhe,92,CN,1533741672,98,50.78,121.52,58.73,2.62
13,bambous virieux,40,MU,1533736800,60,-20.34,57.76,75.2,3.36
14,bluff,0,AU,1533741632,66,-23.58,149.07,41.99,2.62
15,cessnock,0,AU,1533740400,65,-32.83,151.35,46.4,1.12
16,leh,92,IN,1533741673,95,34.16,77.58,39.11,1.16
17,kapaa,1,US,1533740160,78,22.08,-159.32,75.2,16.11
18,punta arenas,75,CL,1533736800,100,-53.16,-70.91,37.4,10.29
19,barrow,36,AR,1533741674,99,-38.31,-60.23,47.57,24.2
20,ambulu,80,ID,1533741674,98,-8.35,113.61,74.3,4.41
21,luderitz,88,NA,1533741674,62,-26.65,15.16,59.63,24.32
22,quartz hill,1,US,1533740280,22,34.65,-118.22,82.4,17.22
23,hobart,75,AU,1533740400,65,-42.88,147.33,46.4,9.17
24,sidney,1,US,1533740100,49,47.72,-104.16,73.4,4.7
25,tuktoyaktuk,90,CA,1533740520,86,69.44,-133.03,39.2,14.99
26,butaritari,32,KI,1533741675,100,3.07,172.79,82.04,4.97
27,busselton,88,AU,1533741676,99,-33.64,115.35,61.07,30.8
28,albany,75,US,1533740040,69,42.65,-73.75,82.4,3.06
29,necochea,76,AR,1533741676,100,-38.55,-58.74,48.38,25.77
30,cidreira,20,BR,1533741634,87,-30.17,-50.22,66.56,4.74
31,russell,0,AR,1533736800,39,-33.01,-68.8,48.2,5.82
32,mar del plata,0,AR,1533741595,73,-46.43,-67.52,44.6,4.41
33,saint anthony,1,US,1533741180,58,43.97,-111.68,69.8,4.63
34,cabo san lucas,90,MX,1533739800,88,22.89,-109.91,75.2,20.8
35,vaini,92,IN,1533741677,99,15.34,74.49,68.72,7.2
36,east london,20,ZA,1533740400,54,-33.02,27.91,57.2,18.34
37,port elizabeth,1,US,1533740160,70,39.31,-74.98,87.8,5.82
38,kodiak,1,US,1533736380,94,39.95,-94.76,73.4,4.52
39,kaitangata,0,NZ,1533741678,68,-46.28,169.85,34.97,3.62
40,klaksvik,76,FO,1533739800,87,62.23,-6.59,53.6,11.41
41,airai,0,TL,1533741620,84,-8.93,125.41,65.57,1.95
42,aksarka,80,RU,1533741679,100,66.56,67.8,58.28,5.08
43,northam,40,GB,1533739800,87,51.04,-4.21,66.2,6.93
44,esperance,40,TT,1533740400,66,10.24,-61.45,87.8,12.75
45,yellowknife,90,CA,1533740400,82,62.45,-114.38,59.0,9.17
46,chokurdakh,0,RU,1533741617,80,70.62,147.9,36.23,10.0
47,comodoro rivadavia,0,AR,1533736800,61,-45.87,-67.48,48.2,1.12
48,cherskiy,0,RU,1533741680,95,68.75,161.3,35.06,6.08
49,bredasdorp,12,ZA,1533740400,62,-34.53,20.04,55.4,3.36
50,port said,0,EG,1533741681,14,25.34,30.55,102.74,14.14
51,severo-kurilsk,56,RU,1533741681,100,50.68,156.12,50.63,4.63
52,mount gambier,56,AU,1533741621,91,-37.83,140.78,46.4,5.19
53,mednogorsk,36,RU,1533741682,41,51.41,57.59,80.06,8.1
54,williston,1,US,1533740100,49,48.15,-103.62,75.2,4.7
55,norman wells,90,CA,1533740400,100,65.28,-126.83,55.4,3.36
56,santa,92,PH,1533741682,95,17.49,120.43,72.14,2.51
57,teya,75,MX,1533740940,79,21.05,-89.07,84.2,8.05
58,waingapu,0,ID,1533741683,86,-9.65,120.26,73.22,9.66
59,ussel,24,FR,1533741683,100,45.55,2.31,67.37,4.18
60,tacuati,88,PY,1533741683,100,-23.46,-56.74,69.71,3.96
61,shilka,36,RU,1533741684,88,51.85,116.03,56.57,2.62
62,camargo,0,MX,1533741684,37,27.69,-105.17,78.17,4.41
63,pisco,48,PE,1533741684,93,-13.71,-76.2,61.7,1.61
64,mataura,8,NZ,1533741627,75,-46.19,168.86,27.95,2.84
65,eston,20,CA,1533740400,68,51.15,-108.75,64.4,8.05
66,bethel,20,US,1533739980,100,60.79,-161.76,44.6,9.17
67,riyadh,32,SA,1533736800,6,24.63,46.72,107.6,21.92
68,ayr,40,GB,1533739800,67,55.46,-4.63,62.6,13.87
69,tual,80,ID,1533741686,95,-5.67,132.75,80.42,15.7
70,hermanus,12,ZA,1533741686,77,-34.42,19.24,51.08,3.18
71,omsukchan,56,RU,1533741686,99,62.53,155.8,43.7,2.62
72,bensonville,75,LR,1533740400,88,6.45,-10.61,77.0,8.05
73,sinnai,20,IT,1533740100,62,39.3,9.2,86.0,8.05
74,jhelum,56,PK,1533741415,91,32.94,73.72,78.35,4.74
75,hilo,90,US,1533740640,94,19.71,-155.08,73.4,8.05
76,soteapan,75,MX,1533739380,94,18.23,-94.87,77.0,4.41
77,chuy,92,UY,1533741668,100,-33.69,-53.46,56.93,10.22
78,gisborne,56,NZ,1533741688,84,-38.66,178.02,54.23,11.45
79,nikolskoye,0,RU,1533738600,40,59.7,30.79,73.4,13.42
80,dzhebariki-khaya,0,RU,1533741688,91,62.22,135.8,54.14,2.39
81,anloga,20,GH,1533740400,69,5.79,0.9,82.4,16.11
82,lukulu,0,ZM,1533741689,12,-14.38,23.24,89.42,7.09
83,meulaboh,48,ID,1533741689,100,4.14,96.13,77.27,2.39
84,sao filipe,20,CV,1533741491,94,14.9,-24.5,78.89,2.39
85,puerto ayora,20,EC,1533741617,96,-0.74,-90.35,71.78,11.01
86,tiarei,100,PF,1533740400,69,-17.53,-149.33,78.8,17.22
87,verkhnetulomskiy,0,RU,1533738600,42,68.61,31.8,64.4,6.71
88,tuatapere,48,NZ,1533741690,100,-46.13,167.69,42.35,9.22
89,kavaratti,92,IN,1533741690,100,10.57,72.64,80.69,21.63
90,litomysl,1,US,1533739200,78,43.95,-93.19,73.4,6.93
91,iqaluit,75,CA,1533740400,81,63.75,-68.52,46.4,4.7
92,tutoia,20,BR,1533736800,62,-2.76,-42.27,89.6,13.87
93,port alfred,12,ZA,1533741623,85,-33.59,26.89,59.0,15.93
